title,domain,description,source_type,published_date,first_seen,mentions,label
"Квантовые компьютеры (D-Wave, IBM)",Инфраструктура ИИ,"Многолетний хайп, крупные инвестиции, обещания прорыва опережают практику",media,2026-03-01,2013,140000,0
Сети 5G,Edge,"Массово развёрнутая технология, отраслевой стандарт, миллиарды устройств",news,2026-03-01,2019,300000,0
Криптовалютные биржи,Финтех,"Сформировавшийся рынок, массовое использование, устоявшиеся лидеры",media,2026-03-01,2013,210000,0
Очки дополненной реальности (AR),Edge,"Многолетний хайп, вбросы, массовое внедрение не состоялось",news,2026-03-01,2013,130000,0
Голосовые помощники,Edge,"Массово внедрено, мейнстрим, сотни миллионов устройств",media,2026-03-01,2014,260000,0
Электромобили,Роботы,"Массовый рынок, сформировавшиеся лидеры, миллионы продаж, отраслевой стандарт",news,2026-03-01,2012,280000,0
Дрон-доставка (Prime Air),Роботы,"Многолетний хайп, обещания прорыва, массового внедрения нет",media,2026-03-01,2016,90000,0
Нейроинтерфейсы (Neuralink),Индустриальный ИИ,"Хайп, обещания прорыва, клинического внедрения нет",news,2026-03-01,2017,120000,0
Роботы-гуманоиды (Tesla Optimus),Роботы,"Маркетинговый хайп, вбросы, массового внедрения нет",media,2026-03-01,2021,100000,0
3D-печать,Индустриальный ИИ,"Зрелая ниша, широко используется в промышленности, но хайп о массовом бытовом применении не оправдался",news,2026-03-01,2009,150000,0
Виртуальная реальность (VR),Инфраструктура ИИ,"Массовый рынок игр, но хайп о всеобщем применении не оправдался, мейнстрим в нише",media,2026-03-01,2016,170000,0
